o_id,name
ObjectID(51660f257b1d395aac000005),"Dior"
ObjectID(5166378f7b1d395aa9000003),"James Perse"
ObjectID(51701af27b1d397947000004),"Brooks Brothers"
ObjectID(5194f3057b1d3925ca000003),"Timberland"
ObjectID(5194f4737b1d3925d0000002),"Cole Haan"
ObjectID(5194f4e87b1d3925ca000006),"John Varvatos"
ObjectID(519e3d207b1d3973e3000002),"Vince"
ObjectID(519e3e867b1d3973ec000002),"J. Crew"
ObjectID(519e5a5d7b1d3973ec000006),"Dogeard"
ObjectID(519e5db87b1d3973e3000005),"Parker"
ObjectID(519e5df97b1d3973e3000007),"Deux Lux"
ObjectID(51a77cc57b1d393844000004),"Wolford"
ObjectID(51a79a6f7b1d393853000002),"Brass Plum"
ObjectID(51a79b5c7b1d393844000007),"Leif Notes "
ObjectID(51a79c097b1d393856000001),"Helmut Lang"
ObjectID(51a79c9b7b1d393856000004),"Aldo"
ObjectID(51a7e0887b1d39384d000002),"We The Free"
ObjectID(51a7e1aa7b1d393844000009),"Hard Tail"
ObjectID(51a7e3f77b1d39384d000005),"Clarks"
ObjectID(51a7e6e87b1d393853000005),"Dover Point"
ObjectID(51a7e7347b1d393850000004),"Roadster"
ObjectID(51a7e8627b1d39385600000a),"Banana Republic"
ObjectID(51a7e8b67b1d393850000007),"ALLSAINTS"
ObjectID(51a7ea237b1d39384a000003),"American Apparel"
ObjectID(51d46bde7b1d3942f4000004),"Ted Baker"
ObjectID(52012dfc7b1d3942ee000001),"Hanes"
ObjectID(523f5bb502c82d5c29000004),"Magnanni"
ObjectID(523f5cc302c82d5c38000003),"Barney's New York"
ObjectID(523f5de802c82d5c2c000003),"Paul Smith"
ObjectID(523f5e2a02c82d5c32000003),"Ferragamo"
ObjectID(523f5e6302c82d5c35000004),"Marc Jacobs"
ObjectID(523f5f5602c82d5c38000007),"UGG"
ObjectID(523f601702c82d5c29000008),"Canali"
ObjectID(523f607d02c82d5c3800000a),"Perry Ellis"
ObjectID(523f826802c82d5c32000005),"Johnston & Murphy"
ObjectID(523f96ba02c82d5c3200000a),"Diane Von Furstenberg"
ObjectID(523f972a02c82d5c3b000002),"Roland Mouret"
ObjectID(523f977d02c82d5c3800000d),"Jimmy Choo"
ObjectID(523f97cb02c82d5c35000008),"Francoise Elizee"
ObjectID(523f981202c82d5c38000010),"J Brand"
ObjectID(523f98db02c82d5c2c000007),"Yosi Samra"
ObjectID(523f9a3702c82d5c3b000005),"Hugo Boss"
ObjectID(523f9b2702c82d5c38000013),"Blackstone Shoes"
ObjectID(523f9b7002c82d5c2900000c),"A Pea in the Pod"
ObjectID(523f9bdf02c82d5c3b000008),"Alberto Fermani"
ObjectID(523f9c6802c82d5c32000011),"Donald Trump"
ObjectID(5240876902c82d5c2900000e),"Ralph Lauren"
ObjectID(5240896102c82d5c2f000005),"Jos A. Bank"
ObjectID(524089b902c82d5c2c00000c),"Bostonian"
ObjectID(524b175e02c82d4aaa000002),"Levi's"
ObjectID(524b193f02c82d4ab0000004),"Hanro"
ObjectID(524b1aad02c82d4abc000004),"Burberry"
ObjectID(524b1b9202c82d4abc000006),"Joie"
ObjectID(524b1bee02c82d4aa7000005),"DL 1961"
ObjectID(524b1e5702c82d4aaa000005),"Splendid"
ObjectID(524b1ed802c82d4aaa000008),"Dolce & Gabbana"
ObjectID(524b1fd602c82d4ab6000002),"Paige"
ObjectID(524b20b702c82d4abc000008),"DKNY"
ObjectID(524b217802c82d4ab6000005),"Calvin Klein"
ObjectID(524b22f402c82d4aaa00000b),"Bosca"
ObjectID(524b235102c82d4abc00000c),"Florsheim"
ObjectID(524b251f02c82d4ab3000009),"Spanx"
ObjectID(524b260d02c82d4ab000000a),"Chloe"
ObjectID(524e2ab202c82d4ab9000006),"Theory"
ObjectID(524e2da602c82d4abc00000e),"Harris"
ObjectID(524e2e0802c82d4aad000002),"Gucci"
ObjectID(524e2f2a02c82d4abc000011),"Bottega Veneta"
ObjectID(524e354602c82d4aa7000008),"Black Brown 1826"
ObjectID(524e3a4502c82d4ab900000d),"American Essentials"
ObjectID(524e3a8502c82d4ab0000011),"Dear Foams"
ObjectID(5258310202c82d4ab0000014),"Zara"
ObjectID(525833f702c82d4abc000016),"Jhane Barnes"
ObjectID(5258345502c82d4aa700000b),"Joseph Abboud"
ObjectID(5258eb1102c82d4aad00000a),"Tomaz and Williamson"
ObjectID(525991d202c82d4ab600000e),"Sid Mashburn"
ObjectID(525992d802c82d4aad00000e),"Prada"
ObjectID(525993e702c82d4ab0000016),"Thomas Mason"
ObjectID(5259972002c82d4aaa000013),"Hickey Freeman"
ObjectID(525998a302c82d4aad000014),"Dickies"
ObjectID(525998e402c82d4aaa000017),"Gap"
ObjectID(52599aab02c82d4ab9000017),"Michael Kors"
ObjectID(52599b2a02c82d4abc000021),"3 X 1"
ObjectID(52599b7202c82d4aad000017),"Rag & Bone"
ObjectID(5259d01302c82d4aad00001b),"A. L. C."
ObjectID(5259d06d02c82d4aa7000010),"Pour La Victoire"
ObjectID(5259d5cd02c82d4ab6000016),"M. Patmos"
ObjectID(5259ebd202c82d4abc000024),"Harris Wharf London"
ObjectID(5259ece902c82d4aa7000017),"AG Jeans"
ObjectID(5259ed5202c82d4aaa00001a),"Lanvin"
ObjectID(5259f22502c82d4aad000021),"Save Khaki"
ObjectID(5259fcb602c82d4ab0000020),"Ermenegildo Zegna"
ObjectID(5259fd9a02c82d4ab0000023),"Narcisco Rodriguez"
ObjectID(5259fe0f02c82d4aaa000021),"Oliver Spencer"
ObjectID(5259feee02c82d4aa700001c),"Wallace and Barnes"
ObjectID(525a004c02c82d4ab0000026),"Equipment"
ObjectID(525a31e102c82d4ab0000029),"Todd Snyder"
ObjectID(525a373c02c82d4ab300001a),"Steven Alan"
ObjectID(525a39ea02c82d4aaa000026),"Frye"
ObjectID(525ad41a02c82d4ab300001e),"IIIBeca by Joy Gryson"
ObjectID(525ad49102c82d4aad000029),"Baggu"
ObjectID(525ad57202c82d4ab900002a),"Paul Stuart"
ObjectID(525ad5ac02c82d4aa7000022),"Neil Allyn"
ObjectID(525ad5f302c82d4ab3000021),"To Boot New York"
ObjectID(525ad99302c82d4abc000032),"LK Bennett"
ObjectID(525ada0a02c82d4ab3000024),"Manolo Blahnik"
ObjectID(525adb1e02c82d4aaa00002b),"Eberjey"
ObjectID(525adb8102c82d4ab900002f),"Cosabella"
ObjectID(525add2b02c82d4aa7000027),"Wolverine"
ObjectID(525b42f602c82d4ab0000033),"Shipley Halmos"
ObjectID(525b4e0202c82d4aa700002a),"Armani"
ObjectID(525b5bef02c82d4aa700002d),"Old Navy"
ObjectID(525b5d2902c82d4ab0000036),"Saks 5th Avenue Black Label"
