o_id,name
ObjectID(51b90ecb7b1d39541f000001),"gray"
ObjectID(51b9deef7b1d391249000001),"blue"
ObjectID(51c0732e7b1d395f10000001),"black"
ObjectID(51d46bde7b1d3942f4000002),"Red"
ObjectID(51d4723a7b1d3942df000001),"Blue"
ObjectID(52012d857b1d3942f1000004),"Yellow"
ObjectID(521bb3357b1d392b8a000004),"Gray"
ObjectID(523f5cc302c82d5c38000001),"Brown"
ObjectID(523f5e6302c82d5c35000001),"White"
ObjectID(523f977d02c82d5c3800000c),"Nude"
ObjectID(523f97cb02c82d5c35000006),"Tan"
ObjectID(524b221b02c82d4ab0000008),"Orange"
ObjectID(524b25ca02c82d4ab9000003),"Burgundy"
ObjectID(5259d01302c82d4aad000019),"Purple"
ObjectID(5259ece902c82d4aa7000015),"Green"
ObjectID(5259fd9a02c82d4ab0000022),"Multi"
ObjectID(525b612402c82d4ab9000036),"Pink"
ObjectID(525f6db102c82d7a98000015),"Gold"
ObjectID(525f6e2a02c82d7a9500000f),"Turquoise"
ObjectID(52681e5402c82d4d58000002),"Silver"
ObjectID(5268229302c82d4d52000004),"Silver Bar"
