o_id,name,slug,description,url,retail_price,store,brand,episode,character,images,type,color,tags,recommended_products
ObjectID(5166378f7b1d395aa9000004),"Ribbed Daily Tank","Ribbed-Daily-Tank","Tank - calistoga pigment; cotton. 95% Supima Cotton, 5% Lycra Knit. The essential James Perse tank, for daily wear. Fine, ribbed stretch cotton. Length: 26 in.","http://www.jamesperse.com/women/tops/tanks/ribbed-daily-tank/viewProduct.do?productId=prod290035&categoryId=cat40009","45",ObjectID(5166378f7b1d395aa9000002),ObjectID(5166378f7b1d395aa9000003),ObjectID(5166378f7b1d395aa9000001),ObjectID(51660f257b1d395aac000003),"{ ""picture1"" : ""5166378f7b1d395aa9000004_picture1tank.jpg"" }",,,"[ ""New_Girl"", ""Jess"", ""Bloomingdales"", ""James_Perse"" ]",
ObjectID(51701af27b1d397947000005),"Brooks Brothers White Shirt","Brooks-Brothers-White-Shi","Classic regular fit solid dress shirt with button front and long sleeves. Pure cotton broadcloth. Ainsley collar. Signature shirring at barrel cuffs. Center back pleat. Left chest pocket. Machine wash. Imported. Also available in Traditional, Slim and Extra-Slim fit.","http://www.brooksbrothers.com/IWCatProductPage.process?Merchant_Id=1&Section_Id=662&Product_Id=1489011&Parent_Id=203&default_color=WHITE&sort_by=&sectioncolor=&sectionsize=","79.50",ObjectID(51701af27b1d397947000003),ObjectID(51701af27b1d397947000004),ObjectID(51701af27b1d397947000001),ObjectID(51701af27b1d397947000002),"{ ""picture1"" : ""51701af27b1d397947000005_picture1shirt.jpg"", ""picture2"" : ""51701af27b1d397947000005_picture2NewGirl_S2E11_Schmidt_2.jpg"", ""picture3"" : ""51701af27b1d397947000005_picture3ng_talking_schmidt_crushed_it_640x360_17375811845.jpg"" }",,,"[ ""New"", ""Girl"", ""Schmidt"", ""Shirt"", ""Button-down"", ""Oxford"", ""Mens"", ""Semiformal"" ]",
ObjectID(5194f3057b1d3925ca000004),"Earthkeepers Side Zip Boot with Laces","Earthkeepers-Side-Zip-Boo","Black, leather, by Timberland","http://shop.nordstrom.com/s/timberland-earthkeepers-side-zip-boot/3043274?origin=category&contextualcategoryid=0&fashionColor=Burnished+Black&resultback=571","170",ObjectID(5194f3057b1d3925ca000002),ObjectID(5194f3057b1d3925ca000003),ObjectID(51701af27b1d397947000001),ObjectID(5194f3057b1d3925ca000001),"{ ""picture1"" : ""5194f3057b1d3925ca000004_picture1shoe.jpg"", ""picture2"" : ""5194f3057b1d3925ca000004_picture2492005.jpg"", ""picture3"" : ""5194f3057b1d3925ca000004_picture3new-girl-2.11-6_FULL.jpg"" }",,,"[ ""Winston,"", ""New"", ""Girl,"", ""Nordstrom,"", ""Timberland,"", ""Boot"" ]",
ObjectID(5194f4737b1d3925d0000003),"Harrison Belt","Harrison-Belt","Black dress belt with silver buckle","http://www.colehaan.com/colehaan/catalog/product.jsp?catId=100&productId=663742&productGroup=663744","75",ObjectID(5194f4737b1d3925d0000001),ObjectID(5194f4737b1d3925d0000002),ObjectID(51701af27b1d397947000001),ObjectID(5194f3057b1d3925ca000001),"{ ""picture1"" : ""5194f4737b1d3925d0000003_picture115 - MarksandSpencer Square Buckle Notched Belt.png"", ""picture2"" : ""5194f4737b1d3925d0000003_picture2492005.jpg"", ""picture3"" : ""5194f4737b1d3925d0000003_picture3new-girl-2.11-6_FULL.jpg"" }",ObjectID(51b9deef7b1d391249000002),ObjectID(51b9deef7b1d391249000001),"[ ""ColeHaan,"", ""Winston,"", ""NewGirl,"" ]",
ObjectID(5194f4e87b1d3925ca000007),"Bowery Jean","Bowery-Jean","Bowery jean with 5 pockets; black denim","http://www.johnvarvatos.com/Black_Bowery_Jean/pd/np/3063/p/3909.html","1",ObjectID(5194f4e87b1d3925ca000005),ObjectID(5194f4e87b1d3925ca000006),ObjectID(51701af27b1d397947000001),ObjectID(5194f3057b1d3925ca000001),"{ ""picture1"" : ""5194f4e87b1d3925ca000007_picture118 -JohnVarvatos BoweryJean.jpg"", ""picture2"" : ""5194f4e87b1d3925ca000007_picture2492005.jpg"", ""picture3"" : ""5194f4e87b1d3925ca000007_picture3new-girl-2.11-6_FULL.jpg"" }",ObjectID(51c0732e7b1d395f10000002),ObjectID(51c0732e7b1d395f10000001),"[ ""Jean"", ""WInston"", ""New_Girl"" ]",
ObjectID(519e3d207b1d3973e3000003),"C.P.O. Leather Jacket","C.P.O.-Leather-Jacket","Leather jacket with snap epaulettes, flap cargo pockets, and concealed zip/snap front closure. ","http://www.vince.com/cpo-leather-jacket/invt/vnm11234148/&bklist=icat,4,shop,men,menfeaturedstyles","1",ObjectID(519e3d207b1d3973e3000001),ObjectID(519e3d207b1d3973e3000002),ObjectID(51701af27b1d397947000001),ObjectID(5194f3057b1d3925ca000001),"{ ""picture1"" : ""519e3d207b1d3973e3000003_picture1leatherjacket.png"", ""picture2"" : ""519e3d207b1d3973e3000003_picture2492005.jpg"", ""picture3"" : ""519e3d207b1d3973e3000003_picture3new-girl-2.11-6_FULL.jpg"" }",,,"[ ""Leather"", ""Jacket"", ""Winston"", ""Newgirl"" ]",
ObjectID(519e3d927b1d3973ec000001),"Earthkeepers side zip boot","Earthkeepers-side-zip-boo","Side zip leather boot with laces","http://shop.nordstrom.com/s/timberland-earthkeepers-side-zip-boot/3043274?origin=category&contextualcategoryid=0&fashionColor=Burnished+Black&resultback=571","170",ObjectID(5194f3057b1d3925ca000002),ObjectID(5194f3057b1d3925ca000003),ObjectID(51701af27b1d397947000001),ObjectID(5194f3057b1d3925ca000001),"{ ""picture1"" : ""519e3d927b1d3973ec000001_picture1shoe.jpg"", ""picture2"" : ""519e3d927b1d3973ec000001_picture2492005.jpg"", ""picture3"" : ""519e3d927b1d3973ec000001_picture3new-girl-2.11-6_FULL.jpg"" }",,,"[ ""boot"" ]",
ObjectID(519e3e257b1d3973e3000004),"Air Adams Cap-Toe Oxford","Air-Adams-Cap-Toe-Oxford","Black, leather Air Adams Cap-Toe Oxford shoe. ","http://www.colehaan.com/colehaan/catalog/product.jsp?catId=100&productId=396244&productGroup=396246","149.95",ObjectID(5194f4737b1d3925d0000001),ObjectID(5194f4737b1d3925d0000002),ObjectID(51701af27b1d397947000001),ObjectID(51701af27b1d397947000002),"{ ""picture1"" : ""519e3e257b1d3973e3000004_picture1blackshoe2.png"", ""picture2"" : ""519e3e257b1d3973e3000004_picture2img_6669_new-girl-tis-the-season-from-santa.jpg"", ""picture3"" : ""519e3e257b1d3973e3000004_picture3NG_Bathtub-Sc27_00321-300x336.jpg"" }",,,"[ ""Oxford"", ""Shoe"" ]",
ObjectID(519e3e867b1d3973ec000003),"Tartan Oxford Cloth Tie","Tartan-Oxford-Cloth-Tie","Tartan Oxford Cloth Tie with plaid pattern; Blue and Grey; Cotton","http://www.jcrew.com/mens_category/tiesandpocketsquares/cottonties/PRDOVR~15046/15046.jsp","59.50",ObjectID(51660f257b1d395aac000004),ObjectID(519e3e867b1d3973ec000002),ObjectID(51701af27b1d397947000001),ObjectID(51701af27b1d397947000002),"{ ""picture1"" : ""519e3e867b1d3973ec000003_picture133 J Crew tartan plaid tie.jpg"", ""picture2"" : ""519e3e867b1d3973ec000003_picture2NewGirl_S2E11_Schmidt_2.jpg"", ""picture3"" : ""519e3e867b1d3973ec000003_picture3images.jpeg"" }",ObjectID(51c073087b1d395f0d000001),ObjectID(51b90ecb7b1d39541f000001),"[ ""tie"" ]",
ObjectID(519e3ed67b1d3973ec000004),"Classic All-Cotton Regular Fit Solid Dress Shirt","Classic-All-Cotton-Regula","classic regular fit solid dress shirt with button front and long sleeves; cotton; white","http://www.brooksbrothers.com/IWCatProductPage.process?Merchant_Id=1&Section_Id=662&Product_Id=1489011&Parent_Id=203&default_color=WHITE&sort_by=&sectioncolor=&sectionsize=","79.50",ObjectID(51701af27b1d397947000003),ObjectID(51701af27b1d397947000004),ObjectID(51701af27b1d397947000001),ObjectID(51701af27b1d397947000002),"{ ""picture1"" : ""519e3ed67b1d3973ec000004_picture1shirt.png"", ""picture2"" : ""519e3ed67b1d3973ec000004_picture2NewGirl_S2E11_Schmidt_2.jpg"", ""picture3"" : ""519e3ed67b1d3973ec000004_picture3ng_talking_schmidt_white_tiger_640x360_18031683507.jpg"" }",,,"[ ""Dress"", ""Shirt"" ]",
