o_id,name,slug,description,url,retail_price,store,brand,episode,season,show,character,image_cover_picture,image_picture_1,image_picture_2,image_picture_3,type,color,tags,recommended_products
ObjectID(5166378f7b1d395aa9000004),"Ribbed Daily Tank","Ribbed-Daily-Tank","Tank - calistoga pigment; cotton. 95% Supima Cotton, 5% Lycra Knit. The essential James Perse tank, for daily wear. Fine, ribbed stretch cotton. Length: 26 in.","http://www.jamesperse.com/women/tops/tanks/ribbed-daily-tank/viewProduct.do?productId=prod290035&categoryId=cat40009","45","Bloomingdales","James Perse",7,2,"New Girl","Jess",,,,,"","","[ ""New_Girl"", ""Jess"", ""Bloomingdales"", ""James_Perse"" ]",
ObjectID(51701af27b1d397947000005),"Brooks Brothers White Shirt","Brooks-Brothers-White-Shi","Classic regular fit solid dress shirt with button front and long sleeves. Pure cotton broadcloth. Ainsley collar. Signature shirring at barrel cuffs. Center back pleat. Left chest pocket. Machine wash. Imported. Also available in Traditional, Slim and Extra-Slim fit.","http://www.brooksbrothers.com/IWCatProductPage.process?Merchant_Id=1&Section_Id=662&Product_Id=1489011&Parent_Id=203&default_color=WHITE&sort_by=&sectioncolor=&sectionsize=","79.50","Brooks Brothers","Brooks Brothers",11,2,"New Girl","Schmidt",,,,,"","","[ ""New"", ""Girl"", ""Schmidt"", ""Shirt"", ""Button-down"", ""Oxford"", ""Mens"", ""Semiformal"" ]",
ObjectID(5194f3057b1d3925ca000004),"Earthkeepers Side Zip Boot with Laces","Earthkeepers-Side-Zip-Boo","Black, leather, by Timberland","http://shop.nordstrom.com/s/timberland-earthkeepers-side-zip-boot/3043274?origin=category&contextualcategoryid=0&fashionColor=Burnished+Black&resultback=571","170","Nordstrom","Timberland",11,2,"New Girl","Winston",,,,,"","","[ ""Winston,"", ""New"", ""Girl,"", ""Nordstrom,"", ""Timberland,"", ""Boot"" ]",
ObjectID(5194f4737b1d3925d0000003),"Harrison Belt","Harrison-Belt","Black dress belt with silver buckle","http://www.colehaan.com/colehaan/catalog/product.jsp?catId=100&productId=663742&productGroup=663744","75","Cole Haan","Cole Haan",11,2,"New Girl","Winston",,,,,"brief","blue","[ ""ColeHaan,"", ""Winston,"", ""NewGirl,"" ]",
ObjectID(5194f4e87b1d3925ca000007),"Bowery Jean","Bowery-Jean","Bowery jean with 5 pockets; black denim","http://www.johnvarvatos.com/Black_Bowery_Jean/pd/np/3063/p/3909.html","1","John Varvatos","John Varvatos",11,2,"New Girl","Winston",,,,,"jean","black","[ ""Jean"", ""WInston"", ""New_Girl"" ]",
ObjectID(519e3d207b1d3973e3000003),"C.P.O. Leather Jacket","C.P.O.-Leather-Jacket","Leather jacket with snap epaulettes, flap cargo pockets, and concealed zip/snap front closure. ","http://www.vince.com/cpo-leather-jacket/invt/vnm11234148/&bklist=icat,4,shop,men,menfeaturedstyles","1","Vince","Vince",11,2,"New Girl","Winston",,,,,"","","[ ""Leather"", ""Jacket"", ""Winston"", ""Newgirl"" ]",
ObjectID(519e3d927b1d3973ec000001),"Earthkeepers side zip boot","Earthkeepers-side-zip-boo","Side zip leather boot with laces","http://shop.nordstrom.com/s/timberland-earthkeepers-side-zip-boot/3043274?origin=category&contextualcategoryid=0&fashionColor=Burnished+Black&resultback=571","170","Nordstrom","Timberland",11,2,"New Girl","Winston",,,,,"","","[ ""boot"" ]",
ObjectID(519e3e257b1d3973e3000004),"Air Adams Cap-Toe Oxford","Air-Adams-Cap-Toe-Oxford","Black, leather Air Adams Cap-Toe Oxford shoe. ","http://www.colehaan.com/colehaan/catalog/product.jsp?catId=100&productId=396244&productGroup=396246","149.95","Cole Haan","Cole Haan",11,2,"New Girl","Schmidt",,,,,"","","[ ""Oxford"", ""Shoe"" ]",
ObjectID(519e3e867b1d3973ec000003),"Tartan Oxford Cloth Tie","Tartan-Oxford-Cloth-Tie","Tartan Oxford Cloth Tie with plaid pattern; Blue and Grey; Cotton","http://www.jcrew.com/mens_category/tiesandpocketsquares/cottonties/PRDOVR~15046/15046.jsp","59.50","J. Crew","J. Crew",11,2,"New Girl","Schmidt",,,,,"Tie","gray","[ ""tie"" ]",
ObjectID(519e3ed67b1d3973ec000004),"Classic All-Cotton Regular Fit Solid Dress Shirt","Classic-All-Cotton-Regula","classic regular fit solid dress shirt with button front and long sleeves; cotton; white","http://www.brooksbrothers.com/IWCatProductPage.process?Merchant_Id=1&Section_Id=662&Product_Id=1489011&Parent_Id=203&default_color=WHITE&sort_by=&sectioncolor=&sectionsize=","79.50","Brooks Brothers","Brooks Brothers",11,2,"New Girl","Schmidt",,,,,"","","[ ""Dress"", ""Shirt"" ]",
