o_id,name
ObjectID(51660f257b1d395aac000004),"J. Crew"
ObjectID(516616a67b1d395aa3000001),"American Apparel"
ObjectID(5166378f7b1d395aa9000002),"Bloomingdales"
ObjectID(51701af27b1d397947000003),"Brooks Brothers"
ObjectID(5194f3057b1d3925ca000002),"Nordstrom"
ObjectID(5194f4737b1d3925d0000001),"Cole Haan"
ObjectID(5194f4e87b1d3925ca000005),"John Varvatos"
ObjectID(519e3d207b1d3973e3000001),"Vince"
ObjectID(51a77cc57b1d393844000003),"Wolford"
ObjectID(51a79b5c7b1d393844000006),"Anthropologie"
ObjectID(51a79c9b7b1d393856000003),"Aldo"
ObjectID(51a7e0887b1d39384d000001),"Free People"
ObjectID(51a7e3f77b1d39384d000004),"Clarks"
ObjectID(51a7e6e87b1d393853000004),"Theory"
ObjectID(51a7e8627b1d393856000009),"Banana Republic"
ObjectID(51a7e8b67b1d393850000006),"ALLSAINTS"
ObjectID(523f5bb502c82d5c29000003),"Magnanni"
ObjectID(523f5cc302c82d5c38000002),"Barney's New York"
ObjectID(523f5de802c82d5c2c000002),"Jules B"
ObjectID(523f5e2a02c82d5c32000002),"Ferragamo"
ObjectID(523f5e6302c82d5c35000003),"Marc Jacobs"
ObjectID(523f5eec02c82d5c29000006),"Lyst"
ObjectID(523f5f5602c82d5c38000006),"UGG"
ObjectID(523f607d02c82d5c38000009),"Perry Ellis"
ObjectID(523f610b02c82d5c26000001),"Johnston & Murphy"
ObjectID(523f96ba02c82d5c32000009),"Diane Von Furstenberg"
ObjectID(523f972a02c82d5c3b000001),"Neiman Marcus"
ObjectID(523f97cb02c82d5c35000007),"Francoise Elizee"
ObjectID(523f981202c82d5c3800000f),"J Brand"
ObjectID(523f98db02c82d5c2c000006),"Yosi Samra"
ObjectID(523f9a3702c82d5c3b000004),"Hugo Boss"
ObjectID(523f9b2702c82d5c38000012),"Blackstone Shoes"
ObjectID(523f9b7002c82d5c2900000b),"A Pea in the Pod"
ObjectID(523f9bdf02c82d5c3b000007),"Alberto Fermani"
ObjectID(523f9c6802c82d5c32000010),"Macys"
ObjectID(5240896102c82d5c2f000004),"Jos A. Bank"
ObjectID(524089b902c82d5c2c00000b),"Bostonian"
ObjectID(524986f602c82d4ab3000001),"Lord & Taylor"
ObjectID(524b175e02c82d4aaa000001),"Levi's"
ObjectID(524b193f02c82d4ab0000003),"Hanro"
ObjectID(524b1aad02c82d4abc000003),"Burberry"
ObjectID(524b1bee02c82d4aa7000004),"DL 1961"
ObjectID(524b1e5702c82d4aaa000004),"Splendid"
