o_id,name
ObjectID(51b90ecb7b1d39541f000002),"clutch"
ObjectID(51b9deef7b1d391249000002),"brief"
ObjectID(51c073087b1d395f0d000001),"Tie"
ObjectID(51c0732e7b1d395f10000002),"jean"
ObjectID(51c073667b1d395f0d000002),"belt buckle"
ObjectID(51c073b47b1d395f16000001),"tie"
ObjectID(51d46bde7b1d3942f4000003),"Dress"
ObjectID(51d4723a7b1d3942df000002),"Shirt"
ObjectID(52012d857b1d3942f1000005),"Hoodie"
ObjectID(521bb3357b1d392b8a000005),"Suitjamas"
ObjectID(523f5bb502c82d5c29000002),"Shoes"
ObjectID(523f5de802c82d5c2c000001),"Suit"
ObjectID(523f5e2a02c82d5c32000001),"Belt"
ObjectID(523f5e6302c82d5c35000002),"Tank"
ObjectID(523f96ba02c82d5c32000008),"Handbag"
ObjectID(523f989202c82d5c3200000c),"Cardigan"
ObjectID(524b17cc02c82d4aa7000002),"Jacket"
ObjectID(524b193f02c82d4ab0000002),"Pajamas"
ObjectID(524b251f02c82d4ab3000007),"Tights"
ObjectID(524e2ab202c82d4ab9000005),"Pants"
ObjectID(524e3a4502c82d4ab900000b),"Robe"
ObjectID(5258eb1102c82d4aad000008),"Hat"
ObjectID(5259d5cd02c82d4ab6000014),"Sweater"
ObjectID(525adb8102c82d4ab900002d),"Chemise"
ObjectID(525c300602c82d7a8c000006),"Jumpsuit"
ObjectID(525cbcbd02c82d7a9b00000a),"Skirt"
ObjectID(525f6db102c82d7a98000016),"Necklace"
ObjectID(525f6e2a02c82d7a95000010),"Ring"
ObjectID(52681d1a02c82d4d46000001),"Tie Bar"
ObjectID(52681f2e02c82d4d52000001),"Cufflinks"
ObjectID(52681fb702c82d4d46000003),"Pocket Square"
ObjectID(5269dd5602c82d4d5800000f),"Vest"
ObjectID(526abeb802c82d4d4f000022),"Earrings"
